,Teste 01, Teste 02, Teste 03, Teste 04, Teste 05, Teste 06, Teste 07, Teste 08, Teste 09, Teste 10, M̩dia, Melhor, x_best, y_best
gBest01, -599.1357, -767.7298, -904.4763, -662.823, -839.7706, -323.2564, -509.8204, -281.9435, -406.5998, -511.0336, -580.6589, -904.4763, 427.1201, 441.3257
gBest02, -655.4964, -767.7298, -904.4763, -930.0341, -839.7706, -738.1882, -629.5748, -658.3177, -638.2733, -511.0336, -727.2895, -930.0341, 512, 409.2687
gBest03, -947.3673, -837.0075, -928.099, -930.0341, -839.7706, -844.2899, -709.0959, -658.3177, -663.3978, -659.1125, -801.6492, -947.3673, 512, 400.9045
gBest04, -959.4197, -858.6269, -928.099, -930.0341, -842.6538, -858.7832, -709.0959, -683.8943, -663.3978, -820.8767, -825.4881, -959.4197, 512.0, 404.6721
gBest05, -959.4197, -860.5274, -928.099, -930.0341, -869.9468, -858.7832, -709.0959, -683.8943, -672.7183, -820.8767, -829.3395, -959.4197, 512.0, 404.6721
gBest06, -959.4197, -860.5274, -928.099, -930.0341, -879.8599, -864.5601, -710.3398, -683.8943, -700.8579, -820.8767, -833.8469, -959.4197, 512.0, 404.6721
gBest07, -959.4197, -860.5274, -928.099, -951.1221, -885.1209, -866.8233, -710.3398, -710.6505, -709.2046, -820.8767, -840.2184, -959.4197, 512.0, 404.6721
gBest08, -959.4606, -862.4493, -928.099, -951.1221, -885.1209, -866.8233, -710.3398, -710.6505, -709.3304, -821.1881, -840.4584, -959.4606, 512.0, 403.8333
gBest09, -959.4606, -862.8833, -929.1352, -952.3036, -886.6648, -870.2567, -713.7844, -710.6505, -714.342, -821.196, -842.0677, -959.4606, 512.0, 403.8333
gBest10, -959.4606, -866.4919, -929.1352, -952.3036, -892.7847, -884.618, -713.7844, -710.6505, -715.7604, -821.196, -844.6185, -959.4606, 512.0, 403.8333
